round,pair_idx,i,j,imgA,imgB,scoreA,scoreB,winner,conf,obj_name,dino_scoreA,dino_scoreB,dino_margin,dino_winner,match,clip_scoreA,clip_scoreB,clip_margin,clip_winner,clip_match,vlm_margin,vlm_sign,dino_sign,clip_sign,judge_tag,t2i_dir,model_label,scoreA_single,scoreB_single,winner_single,conf_single,obj_name_single,single_scoreA,single_scoreB,single_margin,single_winner,single_match,vlm_margin_single,vlm_sign_single,single_sign,judge_tag_single,t2i_dir_single,model_label_single
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,75.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.585559606552124,0.8325027823448181,-0.2469431757926941,1,1,0.7645344734191895,0.8996736407279968,-0.1351391673088073,1,1,-15.0,-1.0,-1.0,-1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel,75.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,9.0,9.0,0.0,0,0,-15.0,-1.0,1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,75.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.776727557182312,0.672633707523346,0.104093849658966,0,0,0.8881112337112427,0.897229790687561,-0.0091185569763183,1,1,-15.0,-1.0,1.0,-1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel,75.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,9.0,9.0,0.0,0,0,-15.0,-1.0,1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel
1,3,2,5,round001_pair003_i2_A.png,round001_pair003_j5_B.png,75.0,85.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7264703512191772,0.6991031169891357,0.0273672342300415,0,0,0.871959924697876,0.8822969198226929,-0.0103369951248168,1,1,-10.0,-1.0,1.0,-1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel,75.0,85.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,9.0,9.0,0.0,0,0,-10.0,-1.0,1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel
1,4,3,2,round001_pair004_i3_A.png,round001_pair004_j2_B.png,75.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6625840067863464,0.7696852684020996,-0.1071012616157531,1,1,0.7360284328460693,0.9089493155479432,-0.1729208827018737,1,1,-15.0,-1.0,-1.0,-1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel,75.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,9.0,9.0,0.0,0,0,-15.0,-1.0,1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel
1,5,3,0,round001_pair005_i3_A.png,round001_pair005_j0_B.png,70.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6779847145080566,0.6413410902023315,0.0366436243057251,0,0,0.7809792757034302,0.8535060286521912,-0.0725267529487609,1,1,-20.0,-1.0,1.0,-1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel,70.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,9.0,9.0,0.0,0,0,-20.0,-1.0,1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel
1,6,3,4,round001_pair006_i3_A.png,round001_pair006_j4_B.png,75.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.453993409872055,0.7760507464408875,-0.3220573365688324,1,1,0.7455016374588013,0.9008902311325072,-0.155388593673706,1,1,-15.0,-1.0,-1.0,-1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel,75.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,9.0,9.0,0.0,0,0,-15.0,-1.0,1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel
1,7,3,1,round001_pair007_i3_A.png,round001_pair007_j1_B.png,70.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6766918301582336,0.7666138410568237,-0.08992201089859,1,1,0.7850212454795837,0.9092992544174194,-0.1242780089378357,1,1,-20.0,-1.0,-1.0,-1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel,70.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,9.0,9.0,0.0,0,0,-20.0,-1.0,1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel
1,8,3,5,round001_pair008_i3_A.png,round001_pair008_j5_B.png,90.0,70.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7481702566146851,0.7314804792404175,0.0166897773742675,0,1,0.9004061222076416,0.793755292892456,0.1066508293151855,0,1,20.0,1.0,1.0,1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel,90.0,70.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,9.0,9.0,0.0,0,1,20.0,1.0,1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel
1,9,3,2,round001_pair009_i3_A.png,round001_pair009_j2_B.png,75.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7838786840438843,0.6864751577377319,0.0974035263061523,0,0,0.7811577320098877,0.8274466395378113,-0.0462889075279235,1,1,-15.0,-1.0,1.0,-1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel,75.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,9.0,9.0,0.0,0,0,-15.0,-1.0,1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel
1,10,3,4,round001_pair010_i3_A.png,round001_pair010_j4_B.png,90.0,70.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.699100136756897,0.8122702836990356,-0.1131701469421386,1,0,0.7632436156272888,0.8446578979492188,-0.0814142823219299,1,0,20.0,1.0,-1.0,-1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel,90.0,70.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,9.0,9.0,0.0,0,1,20.0,1.0,1.0,gpt_4o_mini,qwen_image_fal_duel,Qwen-Image-duel
