round,pair_idx,i,j,imgA,imgB,scoreA,scoreB,winner,conf,obj_name,dino_scoreA,dino_scoreB,dino_margin,dino_winner,match,clip_scoreA,clip_scoreB,clip_margin,clip_winner,clip_match,vlm_margin,vlm_sign,dino_sign,clip_sign,judge_tag,t2i_dir,model_label,scoreA_single,scoreB_single,winner_single,conf_single,obj_name_single,single_scoreA,single_scoreB,single_margin,single_winner,single_match,vlm_margin_single,vlm_sign_single,single_sign,judge_tag_single,t2i_dir_single,model_label_single
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,70.0,92.0,1,0.78,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7054248452186584,0.6926871538162231,0.0127376914024353,0,0,0.8274453282356262,0.8515914678573608,-0.0241461396217346,1,1,-22.0,-1.0,1.0,-1.0,gpt_5_nano,gemini_duel,Gemini-duel,70.0,92.0,1,0.78,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,9.0,8.0,1.0,0,0,-22.0,-1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,78.0,60.0,0,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7628223299980164,0.6827853918075562,0.0800369381904602,0,1,0.8649051189422607,0.8697320222854614,-0.0048269033432006,1,0,18.0,1.0,1.0,-1.0,gpt_5_nano,gemini_duel,Gemini-duel,78.0,60.0,0,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,9.0,9.0,0.0,0,1,18.0,1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,3,2,5,round001_pair003_i2_A.png,round001_pair003_j5_B.png,88.0,72.0,0,0.78,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6522472500801086,0.6823988556861877,-0.0301516056060791,1,0,0.902796506881714,0.8658218383789062,0.0369746685028076,0,1,16.0,1.0,-1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel,88.0,72.0,0,0.78,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,7.0,8.0,-1.0,1,0,16.0,1.0,-1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,4,3,2,round001_pair004_i3_A.png,round001_pair004_j2_B.png,75.0,92.0,1,0.74,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7269942164421082,0.7042268514633179,0.0227673649787902,0,0,0.8995765447616577,0.881717324256897,0.0178592205047607,0,0,-17.0,-1.0,1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel,75.0,92.0,1,0.74,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,8.0,8.0,0.0,0,0,-17.0,-1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,5,3,0,round001_pair005_i3_A.png,round001_pair005_j0_B.png,82.0,68.0,0,0.65,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7744061946868896,0.7249290347099304,0.0494771599769592,0,1,0.8196117877960205,0.8772663474082947,-0.0576545596122741,1,0,14.0,1.0,1.0,-1.0,gpt_5_nano,gemini_duel,Gemini-duel,82.0,68.0,0,0.65,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,9.0,7.0,2.0,0,1,14.0,1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,6,3,4,round001_pair006_i3_A.png,round001_pair006_j4_B.png,86.0,62.0,0,0.78,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7220467329025269,0.7225860357284546,-0.0005393028259277,1,0,0.907062828540802,0.8573516607284546,0.0497111678123474,0,1,24.0,1.0,-1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel,86.0,62.0,0,0.78,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,8.0,8.0,0.0,0,1,24.0,1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,7,3,1,round001_pair007_i3_A.png,round001_pair007_j1_B.png,68.0,92.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.5895067453384399,0.707939863204956,-0.1184331178665161,1,1,0.8632646799087524,0.8372082114219666,0.0260564684867858,0,0,-24.0,-1.0,-1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel,68.0,92.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,8.0,8.0,0.0,0,0,-24.0,-1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,8,3,5,round001_pair008_i3_A.png,round001_pair008_j5_B.png,70.0,88.0,1,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.676411509513855,0.6517308950424194,0.0246806144714355,0,0,0.8764294385910034,0.871239185333252,0.0051902532577514,0,0,-18.0,-1.0,1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel,70.0,88.0,1,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,7.0,6.0,1.0,0,0,-18.0,-1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,9,3,2,round001_pair009_i3_A.png,round001_pair009_j2_B.png,85.0,75.0,0,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7571462392807007,0.7099955081939697,0.0471507310867309,0,1,0.8143097162246704,0.8079087734222412,0.0064009428024291,0,1,10.0,1.0,1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel,85.0,75.0,0,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,8.0,7.0,1.0,0,1,10.0,1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,10,3,4,round001_pair010_i3_A.png,round001_pair010_j4_B.png,78.0,60.0,0,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6079239845275879,0.6919280290603638,-0.0840040445327758,1,0,0.8733152151107788,0.835862398147583,0.0374528169631958,0,1,18.0,1.0,-1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel,78.0,60.0,0,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,8.0,8.0,0.0,0,1,18.0,1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel
